,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fiji,1433.0,1661.0,1744.0,1737.0,1980.0,1967.0,2139.0,2035.0,2180.0,2579.0,2829.0,2845.0,3087.0,3242.0,3480.0,3645.0,3890.0,3862.0,3954.0,4364.0,4388.0,4573.0,4792.0,4926.0,5335.0,5435.0,5708.0,5808.0,5981.0,5942.0,7372.0,7729.0,8283.0,8942.0,9832.0,10782.0,11020.0,11784.0,12492.0,12550.0
Finland,44985.0,49822.0,54547.0,58470.0,62491.0,66771.0,69974.0,74315.0,80924.0,88347.0,92237.0,89669.0,88664.0,90106.0,95650.0,101752.0,107399.0,116069.0,123696.0,131171.0,141715.0,148686.0,153506.0,159689.0,170522.0,180902.0,194021.0,209512.0,215161.0,198869.0,210595.0,220471.0,221286.0,225680.0,228059.0,232930.0,246904.0,261649.0,271994.0,280024.0
France,578363.0,639182.0,695869.0,732425.0,769980.0,807519.0,843169.0,886975.0,961482.0,1042354.0,1112405.0,1161375.0,1206853.0,1227994.0,1283545.0,1337635.0,1380953.0,1437427.0,1504697.0,1579776.0,1678332.0,1750132.0,1796875.0,1847723.0,1951435.0,2046601.0,2159587.0,2269408.0,2318445.0,2267340.0,2344996.0,2446475.0,2474005.0,2608524.0,2662033.0,2719224.0,2863816.0,2997297.0,3124289.0,3228039.0
Gabon,6775.0,7112.0,7863.0,8336.0,9055.0,9887.0,9874.0,8567.0,9177.0,11005.0,12000.0,13158.0,13043.0,13880.0,14702.0,15755.0,16624.0,17879.0,18702.0,17290.0,17350.0,18127.0,18440.0,19127.0,19873.0,20351.0,20576.0,22462.0,23299.0,22941.0,24097.0,26345.0,26868.0,27464.0,28956.0,28630.0,28685.0,30987.0,32050.0,33854.0
Gambia,435.0,431.0,552.0,652.0,623.0,667.0,696.0,734.0,773.0,838.0,918.0,969.0,1009.0,1072.0,1058.0,1116.0,1169.0,1206.0,1298.0,1402.0,1514.0,1637.0,1608.0,1753.0,1928.0,1972.0,2055.0,2186.0,2357.0,2528.0,4366.0,4095.0,4191.0,4166.0,4103.0,4311.0,4446.0,4589.0,5039.0,5439.0
Georgia,,,,,,,,,,,,,,,7542.0,7899.0,8888.0,9995.0,10394.0,10866.0,11386.0,12194.0,13072.0,14822.0,16112.0,18225.0,20555.0,23757.0,24808.0,24084.0,28654.0,31405.0,36640.0,39451.0,43054.0,45036.0,47930.0,50663.0,54392.0,58213.0
Germany,866222.0,948148.0,999039.0,1054620.0,1122911.0,1184249.0,1237329.0,1287554.0,1382408.0,1492361.0,1636133.0,1775313.0,1843284.0,1868540.0,1956704.0,2033711.0,2088567.0,2164730.0,2227072.0,2302946.0,2430427.0,2531381.0,2570864.0,2603335.0,2693592.0,2804578.0,3002740.0,3186681.0,3275699.0,3116816.0,3219132.0,3415020.0,3487234.0,3628559.0,3807115.0,3890125.0,4164749.0,4401871.0,4564715.0,4672006.0
Ghana,9730.0,10266.0,10149.0,10038.0,11326.0,12284.0,13183.0,14168.0,15489.0,16910.0,18119.0,19714.0,20950.0,22246.0,23541.0,25049.0,26692.0,28464.0,30124.0,31939.0,33887.0,36108.0,38330.0,41146.0,44636.0,48775.0,53416.0,57222.0,63682.0,67274.0,99783.0,116331.0,132459.0,139946.0,148487.0,142514.0,139277.0,145509.0,158336.0,171603.0
Greece,87056.0,93703.0,98392.0,101174.0,106867.0,113058.0,115931.0,116207.0,125432.0,135260.0,140264.0,149427.0,153900.0,155041.0,161508.0,168338.0,176318.0,187378.0,196788.0,205938.0,218879.0,233117.0,245980.0,265423.0,286524.0,297513.0,323988.0,343498.0,349062.0,336587.0,312935.0,290297.0,279267.0,286168.0,292335.0,291109.0,299824.0,312844.0,326552.0,338598.0
Grenada,190.0,211.0,233.0,251.0,270.0,295.0,323.0,362.0,385.0,415.0,449.0,470.0,477.0,479.0,498.0,520.0,552.0,589.0,666.0,723.0,777.0,779.0,818.0,913.0,933.0,1090.0,1079.0,1175.0,1210.0,1138.0,1154.0,1187.0,1200.0,1286.0,1420.0,1551.0,1657.0,1798.0,1918.0,2010.0
